epoch,step,train_loss
2,49,1.0828455686569214
4,99,0.545131266117096
7,149,0.6506919860839844
9,199,0.3223576843738556
12,249,0.3271295130252838
14,299,0.23211205005645752
17,349,0.1791348159313202
19,399,0.17464019358158112
