epoch,step,train_loss
2,49,0.6806787252426147
4,99,0.4977239668369293
7,149,0.39304062724113464
9,199,0.3240993320941925
12,249,0.2731620967388153
14,299,0.2287496030330658
17,349,0.19381147623062134
19,399,0.16686023771762848
