epoch,step,train_loss
2,49,0.9825053811073303
4,99,0.8224799036979675
7,149,0.6551496386528015
9,199,0.4996531903743744
12,249,0.32213038206100464
14,299,0.28840914368629456
17,349,0.20708663761615753
19,399,0.2205517441034317
