epoch,step,train_loss
2,49,0.8602082133293152
4,99,0.781774640083313
7,149,0.5118438005447388
9,199,0.4556851089000702
12,249,0.32406800985336304
14,299,0.3118016719818115
17,349,0.2456786036491394
19,399,0.23426111042499542
