epoch,step,train_loss
2,49,0.9775357842445374
4,99,0.8657006621360779
7,149,0.5806097984313965
9,199,0.5097991824150085
12,249,0.3947845697402954
14,299,0.34321677684783936
17,349,0.2872629165649414
19,399,0.24380970001220703
