epoch,step,train_loss
2,49,0.7149432301521301
4,99,0.6390814781188965
7,149,0.45766887068748474
9,199,0.40360552072525024
12,249,0.31008416414260864
14,299,0.2783152759075165
17,349,0.1913263350725174
19,399,0.19215136766433716
