epoch,step,train_loss
2,49,0.8388606905937195
4,99,0.8838721513748169
7,149,0.496744841337204
9,199,0.4959963262081146
12,249,0.35625094175338745
14,299,0.3347364664077759
17,349,0.2558871805667877
19,399,0.2371155172586441
